region,sales_usd,brand
thuringia,185,AMD
thuringia,463,TOSHIBA
thuringia,749,SILICON
thuringia,2029,MDT
thuringia,2164,KFA&SUP2
thuringia,2216,AENEON
thuringia,11410,PNY
thuringia,13967,INTENSO
thuringia,16536,V7
thuringia,18066,TRANSCEND
thuringia,18155,KINGMAX
thuringia,21896,SK
thuringia,23607,ELIXIR
thuringia,24682,EXTREMEMORY
thuringia,29608,MICRON
thuringia,35286,INTEGRAL
thuringia,73214,MUSTANG
thuringia,78213,OCZ
thuringia,80028,HP
thuringia,81027,COMPUSTOCX
thuringia,86264,APACER
thuringia,90600,AVEXIR
thuringia,102505,KLEVV
thuringia,135186,PATRIOT
thuringia,145867,GOODRAM
thuringia,155553,SAMSUNG
thuringia,158802,TEAM GROUP
thuringia,543979,GEIL
thuringia,761624,MUSHKIN
thuringia,936215,ADATA
thuringia,3794844,CRUCIAL
thuringia,4598261,KINGSTON
thuringia,4697704,CORSAIR
thuringia,7524717,G.SKILL
schleswig-holstein,639,SILICON
schleswig-holstein,655,TOSHIBA
schleswig-holstein,1753,AENEON
schleswig-holstein,2178,KFA&SUP2
schleswig-holstein,2601,MDT
schleswig-holstein,11473,PNY
schleswig-holstein,13384,INTENSO
schleswig-holstein,16289,V7
schleswig-holstein,17954,KINGMAX
schleswig-holstein,19450,TRANSCEND
schleswig-holstein,19828,SK
schleswig-holstein,22501,ELIXIR
schleswig-holstein,23675,EXTREMEMORY
schleswig-holstein,25971,COMPUSTOCX
schleswig-holstein,34454,INTEGRAL
schleswig-holstein,40903,MICRON
schleswig-holstein,72886,HP
schleswig-holstein,76627,MUSTANG
schleswig-holstein,78596,OCZ
schleswig-holstein,88927,AVEXIR
schleswig-holstein,92192,APACER
schleswig-holstein,102264,KLEVV
schleswig-holstein,137515,PATRIOT
schleswig-holstein,149265,GOODRAM
schleswig-holstein,152065,SAMSUNG
schleswig-holstein,159302,TEAM GROUP
schleswig-holstein,561399,GEIL
schleswig-holstein,774541,MUSHKIN
schleswig-holstein,959846,ADATA
schleswig-holstein,3797884,CRUCIAL
schleswig-holstein,4627903,KINGSTON
schleswig-holstein,4701072,CORSAIR
schleswig-holstein,7437598,G.SKILL
saxony-anhalt,727,SILICON
saxony-anhalt,1939,AENEON
saxony-anhalt,2197,MDT
saxony-anhalt,3156,KFA&SUP2
saxony-anhalt,10162,PNY
saxony-anhalt,13453,INTENSO
saxony-anhalt,15652,V7
saxony-anhalt,17966,TRANSCEND
saxony-anhalt,19073,KINGMAX
saxony-anhalt,20378,SK
saxony-anhalt,23758,ELIXIR
saxony-anhalt,27093,EXTREMEMORY
saxony-anhalt,34597,INTEGRAL
saxony-anhalt,65520,MICRON
saxony-anhalt,77681,MUSTANG
saxony-anhalt,80370,HP
saxony-anhalt,80682,COMPUSTOCX
saxony-anhalt,81259,OCZ
saxony-anhalt,86924,APACER
saxony-anhalt,89055,AVEXIR
saxony-anhalt,116828,KLEVV
saxony-anhalt,140792,GOODRAM
saxony-anhalt,141349,PATRIOT
saxony-anhalt,156808,SAMSUNG
saxony-anhalt,163592,TEAM GROUP
saxony-anhalt,552809,GEIL
saxony-anhalt,765569,MUSHKIN
saxony-anhalt,976322,ADATA
saxony-anhalt,3956637,CRUCIAL
saxony-anhalt,4638247,KINGSTON
saxony-anhalt,4725946,CORSAIR
saxony-anhalt,7368416,G.SKILL
saxony,320,TOSHIBA
saxony,482,SILICON
saxony,1788,KFA&SUP2
saxony,2074,AENEON
saxony,2453,MDT
saxony,11893,PNY
saxony,13568,V7
saxony,14923,INTENSO
saxony,17204,KINGMAX
saxony,18496,TRANSCEND
saxony,21017,SK
saxony,22595,EXTREMEMORY
saxony,22797,ELIXIR
saxony,25297,COMPUSTOCX
saxony,33957,INTEGRAL
saxony,57188,MICRON
saxony,72766,MUSTANG
saxony,77884,HP
saxony,79814,OCZ
saxony,91187,AVEXIR
saxony,97249,APACER
saxony,120541,KLEVV
saxony,135227,PATRIOT
saxony,143261,GOODRAM
saxony,159314,SAMSUNG
saxony,163339,TEAM GROUP
saxony,534743,GEIL
saxony,744589,MUSHKIN
saxony,941296,ADATA
saxony,3807242,CRUCIAL
saxony,4731544,KINGSTON
saxony,4734384,CORSAIR
saxony,7349944,G.SKILL
saarland,560,TOSHIBA
saarland,575,SILICON
saarland,1862,KFA&SUP2
saarland,1863,AENEON
saarland,2483,MDT
saarland,9953,PNY
saarland,15154,INTENSO
saarland,16793,V7
saarland,19192,SK
saarland,19208,KINGMAX
saarland,20684,TRANSCEND
saarland,22407,EXTREMEMORY
saarland,23417,ELIXIR
saarland,26076,COMPUSTOCX
saarland,34148,INTEGRAL
saarland,61148,MICRON
saarland,71088,MUSTANG
saarland,75576,OCZ
saarland,78784,HP
saarland,88656,APACER
saarland,96288,AVEXIR
saarland,105541,KLEVV
saarland,136889,PATRIOT
saarland,147678,GOODRAM
saarland,166592,SAMSUNG
saarland,170970,TEAM GROUP
saarland,518996,GEIL
saarland,765346,MUSHKIN
saarland,944297,ADATA
saarland,3832297,CRUCIAL
saarland,4564421,KINGSTON
saarland,4693670,CORSAIR
saarland,7489117,G.SKILL
rhineland-palatinate,117,TOSHIBA
rhineland-palatinate,736,SILICON
rhineland-palatinate,2163,MDT
rhineland-palatinate,2216,KFA&SUP2
rhineland-palatinate,2342,AENEON
rhineland-palatinate,10912,PNY
rhineland-palatinate,13817,INTENSO
rhineland-palatinate,16446,V7
rhineland-palatinate,18241,KINGMAX
rhineland-palatinate,19343,SK
rhineland-palatinate,20242,TRANSCEND
rhineland-palatinate,23538,ELIXIR
rhineland-palatinate,24348,EXTREMEMORY
rhineland-palatinate,33600,INTEGRAL
rhineland-palatinate,70395,MICRON
rhineland-palatinate,73757,MUSTANG
rhineland-palatinate,80054,COMPUSTOCX
rhineland-palatinate,80171,OCZ
rhineland-palatinate,85111,HP
rhineland-palatinate,92470,AVEXIR
rhineland-palatinate,96275,APACER
rhineland-palatinate,117392,KLEVV
rhineland-palatinate,135515,PATRIOT
rhineland-palatinate,140096,GOODRAM
rhineland-palatinate,154783,SAMSUNG
rhineland-palatinate,159020,TEAM GROUP
rhineland-palatinate,563800,GEIL
rhineland-palatinate,742352,MUSHKIN
rhineland-palatinate,954778,ADATA
rhineland-palatinate,3785548,CRUCIAL
rhineland-palatinate,4610908,KINGSTON
rhineland-palatinate,4732934,CORSAIR
rhineland-palatinate,7312360,G.SKILL
north rhine-westphalla,428,TOSHIBA
north rhine-westphalla,963,SILICON
north rhine-westphalla,1774,AENEON
north rhine-westphalla,2616,MDT
north rhine-westphalla,2733,KFA&SUP2
north rhine-westphalla,9523,PNY
north rhine-westphalla,12153,INTENSO
north rhine-westphalla,16789,V7
north rhine-westphalla,18634,SK
north rhine-westphalla,19601,KINGMAX
north rhine-westphalla,20902,TRANSCEND
north rhine-westphalla,23691,EXTREMEMORY
north rhine-westphalla,24500,ELIXIR
north rhine-westphalla,26407,COMPUSTOCX
north rhine-westphalla,32772,INTEGRAL
north rhine-westphalla,42502,MICRON
north rhine-westphalla,76193,MUSTANG
north rhine-westphalla,81500,OCZ
north rhine-westphalla,83107,APACER
north rhine-westphalla,83411,HP
north rhine-westphalla,85987,AVEXIR
north rhine-westphalla,102341,KLEVV
north rhine-westphalla,136966,PATRIOT
north rhine-westphalla,140999,GOODRAM
north rhine-westphalla,158256,TEAM GROUP
north rhine-westphalla,169019,SAMSUNG
